id;idpas;nombre;identificacion;idt
1;30159;Shirt Kentucky;disintermediate withdrawal open-source;95242
2;45757;Consultant Chief;SQL Algeria Berkshire;17274
3;75122;mobile Tasty Concrete Bacon;experiences;72471
4;82739;auxiliary;complexity Paraguay;21912
5;68291;Cambridgeshire Guam interface;efficient orchid Neck;22468
6;93512;Dynamic groupware Missouri;white;43600
7;41449;clicks-and-mortar Creative;override;40823
8;52517;foreground Officer;optimal neural;22293
9;49371;Balanced;platforms Keyboard Cambridgeshire;20942
10;8339;Rufiyaa invoice Ergonomic;Metal;75189
